"ID";"RegioS";"Perioden";"PrijsindexBestaandeKoopwoningen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"AantalVerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"621";"PV20  ";"2004KW02";"    86.9";"     1.0";"     5.0";"    1607";"    20.8";"    -3.6";"  156129";"     251"
"622";"PV20  ";"2004KW03";"    89.5";"     3.0";"     6.1";"    1816";"    13.0";"     3.2";"  159717";"     290"
"623";"PV20  ";"2004KW04";"    89.3";"    -0.2";"     5.8";"    1915";"     5.5";"    -2.2";"  154229";"     295"
"624";"PV20  ";"2004JJ00";"    88.0";"     5.6";"     5.6";"    6668";"    -0.5";"    -0.5";"  155116";"    1034"
"625";"PV20  ";"2005KW01";"    91.9";"     2.9";"     6.7";"    1299";"   -32.2";"    -2.3";"  162624";"     211"
"626";"PV20  ";"2005KW02";"    93.6";"     1.9";"     7.7";"    1645";"    26.6";"     2.4";"  167051";"     275"
"627";"PV20  ";"2005KW03";"    95.7";"     2.3";"     7.0";"    1997";"    21.4";"    10.0";"  170018";"     340"
"628";"PV20  ";"2005KW04";"    96.9";"     1.2";"     8.4";"    1896";"    -5.1";"    -1.0";"  170671";"     324"
"629";"PV20  ";"2005JJ00";"    94.5";"     7.5";"     7.5";"    6837";"     2.5";"     2.5";"  168081";"    1149"
"630";"PV20  ";"2006KW01";"    98.0";"     1.2";"     6.6";"    1550";"   -18.2";"    19.3";"  169946";"     263"
"631";"PV20  ";"2006KW02";"   100.1";"     2.1";"     6.9";"    1743";"    12.5";"     6.0";"  172733";"     301"
"632";"PV20  ";"2006KW03";"   101.0";"     0.9";"     5.5";"    1824";"     4.6";"    -8.7";"  184728";"     337"
"633";"PV20  ";"2006KW04";"   101.3";"     0.4";"     4.6";"    1935";"     6.1";"     2.1";"  182790";"     354"
"634";"PV20  ";"2006JJ00";"   100.1";"     5.9";"     5.9";"    7052";"     3.1";"     3.1";"  177983";"    1255"
"635";"PV20  ";"2007KW01";"   102.7";"     1.4";"     4.8";"    1507";"   -22.1";"    -2.8";"  183867";"     277"
"636";"PV20  ";"2007KW02";"   102.4";"    -0.3";"     2.3";"    1757";"    16.6";"     0.8";"  185893";"     327"
"637";"PV20  ";"2007KW03";"   104.2";"     1.8";"     3.2";"    1778";"     1.2";"    -2.5";"  187338";"     333"
"638";"PV20  ";"2007KW04";"   104.2";"     0.0";"     2.8";"    1808";"     1.7";"    -6.6";"  190110";"     344"
"639";"PV20  ";"2007JJ00";"   103.4";"     3.3";"     3.3";"    6850";"    -2.9";"    -2.9";"  186935";"    1281"
"640";"PV20  ";"2008KW01";"   105.2";"     0.9";"     2.4";"    1332";"   -26.3";"   -11.6";"  188678";"     251"
"641";"PV20  ";"2008KW02";"   104.9";"    -0.3";"     2.5";"    1529";"    14.8";"   -13.0";"  186068";"     284"
